,home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
57,LAA,TEX,0,2016,Angel Stadium,"Anaheim, California","35,207",,MLB
58,SEA,OAK,0,2016,T-Mobile Park,"Seattle, Washington","47,065",,MLB
59,SF,LAD,1,2016,Oracle Park,"San Francisco, California","41,742",,MLB
60,TOR,BOS,0,2016,Rogers Centre,"Toronto, Ontario","47,138",,MLB
61,DET,NYY,0,2016,Comerica Park,"Detroit, Michigan","32,419",,MLB
62,CIN,PIT,1,2016,Great American Ball Park,"Cincinnati, Ohio","22,799",,MLB
63,CHW,CLE,1,2016,Guaranteed Rate Field,"Chicago, Illinois","20,192",,MLB
64,SF,LAD,0,2016,Oracle Park,"San Francisco, California","41,224",,MLB
65,MIL,HOU,0,2016,Miller Park,"Milwaukee, Wisconsin","28,127",,MLB
66,ATL,STL,0,2016,Center Parc Stadium,"Atlanta, Georgia","33,471",,MLB
67,NYM,PHI,0,2016,Citi Field,"Queens, New York","37,083",,MLB
68,KC,MIN,1,2016,Kauffman Stadium,"Kansas City, Missouri","31,001",,MLB
69,COL,SD,0,2016,Coors Field,"Denver, Colorado","35,177",,MLB
70,ARI,CHC,0,2016,Chase Field,"Phoenix, Arizona","32,185",,MLB
71,LAA,TEX,0,2016,Angel Stadium,"Anaheim, California","38,106",,MLB
72,SEA,OAK,0,2016,T-Mobile Park,"Seattle, Washington","36,424",,MLB
73,TOR,BOS,1,2016,Rogers Centre,"Toronto, Ontario","46,158",,MLB
74,CIN,PIT,1,2016,Great American Ball Park,"Cincinnati, Ohio","27,207",,MLB
75,NYM,PHI,0,2016,Citi Field,"Queens, New York","37,233",,MLB
76,BAL,TB,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","23,101",,MLB
77,ATL,STL,0,2016,Center Parc Stadium,"Atlanta, Georgia","23,214",,MLB
78,WSH,MIA,1,2016,Nationals Park,"Washington, D.C.","24,593",,MLB
79,BAL,TB,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","23,101",,MLB
80,MIL,HOU,1,2016,Miller Park,"Milwaukee, Wisconsin","28,441",,MLB
81,KC,MIN,1,2016,Kauffman Stadium,"Kansas City, Missouri","35,317",,MLB
82,LAA,TEX,1,2016,Angel Stadium,"Anaheim, California","35,097",,MLB
83,SF,LAD,1,2016,Oracle Park,"San Francisco, California","41,656",,MLB
84,SEA,OAK,0,2016,T-Mobile Park,"Seattle, Washington","30,834",,MLB
85,COL,SD,1,2016,Coors Field,"Denver, Colorado","27,587",,MLB
86,ARI,CHC,0,2016,Chase Field,"Phoenix, Arizona","33,258",,MLB
87,DET,PIT,0,2016,Comerica Park,"Detroit, Michigan","26,271",,MLB
88,BOS,BAL,0,2016,Fenway Park,"Boston, Massachusetts","37,160",,MLB
89,PHI,SD,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","45,229",,MLB
90,MIN,CHW,0,2016,Target Field,"Minneapolis, Minnesota","40,638",,MLB
91,STL,MIL,1,2016,Busch Stadium,"St. Louis, Missouri","47,608",,MLB
92,NYM,MIA,0,2016,Citi Field,"Queens, New York","24,318",,MLB
93,WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","18,119",,MLB
94,CHC,CIN,1,2016,Wrigley Field,"Chicago, Illinois","40,882",,MLB
95,HOU,KC,1,2016,Minute Maid Park,"Houston, Texas","43,332",,MLB
96,OAK,LAA,0,2016,Oakland Coliseum,"Oakland, California","13,371",,MLB
97,SEA,TEX,0,2016,T-Mobile Park,"Seattle, Washington","13,468",,MLB
98,DET,PIT,1,2016,Comerica Park,"Detroit, Michigan","26,489",,MLB
99,LAD,ARI,0,2016,Dodger Stadium,"Los Angeles, California","53,279",,MLB
100,WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","18,378",,MLB
101,PHI,SD,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","21,043",,MLB
102,TOR,NYY,0,2016,Rogers Centre,"Toronto, Ontario","28,819",,MLB
103,BOS,BAL,0,2016,Fenway Park,"Boston, Massachusetts","31,114",,MLB
104,NYM,MIA,0,2016,Citi Field,"Queens, New York","28,923",,MLB
105,TB,CLE,1,2016,Tropicana Field,"St. Petersburg, Florida","10,283",,MLB
106,HOU,KC,0,2016,Minute Maid Park,"Houston, Texas","21,027",,MLB
107,COL,SF,0,2016,Coors Field,"Denver, Colorado","20,814",,MLB
108,OAK,LAA,0,2016,Oakland Coliseum,"Oakland, California","13,492",,MLB
109,SEA,TEX,0,2016,T-Mobile Park,"Seattle, Washington","13,376",,MLB
110,NYM,MIA,1,2016,Citi Field,"Queens, New York","22,113",,MLB
111,OAK,LAA,0,2016,Oakland Coliseum,"Oakland, California","11,216",,MLB
112,SEA,TEX,1,2016,T-Mobile Park,"Seattle, Washington","15,075",,MLB
113,BOS,BAL,1,2016,Fenway Park,"Boston, Massachusetts","31,011",,MLB
114,WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","19,400",,MLB
115,PHI,SD,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","17,638",,MLB
116,PIT,DET,0,2016,PNC Park,"Pittsburgh, Pennsylvania","21,175",,MLB
117,TOR,NYY,1,2016,Rogers Centre,"Toronto, Ontario","27,938",,MLB
118,TB,CLE,0,2016,Tropicana Field,"St. Petersburg, Florida","10,117",,MLB
119,CHC,CIN,1,2016,Wrigley Field,"Chicago, Illinois","36,496",,MLB
120,MIN,CHW,0,2016,Target Field,"Minneapolis, Minnesota","21,008",,MLB
121,HOU,KC,0,2016,Minute Maid Park,"Houston, Texas","24,109",,MLB
122,STL,MIL,0,2016,Busch Stadium,"St. Louis, Missouri","40,994",,MLB
123,COL,SF,1,2016,Coors Field,"Denver, Colorado","21,891",,MLB
124,LAD,ARI,1,2016,Dodger Stadium,"Los Angeles, California","44,244",,MLB
125,PIT,DET,0,2016,PNC Park,"Pittsburgh, Pennsylvania","18,751",,MLB
126,PHI,SD,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","18,079",,MLB
127,MIN,CHW,0,2016,Target Field,"Minneapolis, Minnesota","19,736",,MLB
128,TB,CLE,0,2016,Tropicana Field,"St. Petersburg, Florida","10,715",,MLB
129,STL,MIL,1,2016,Busch Stadium,"St. Louis, Missouri","40,168",,MLB
130,COL,SF,1,2016,Coors Field,"Denver, Colorado","21,226",,MLB
131,WSH,ATL,1,2016,Nationals Park,"Washington, D.C.","21,144",,MLB
132,TOR,NYY,1,2016,Rogers Centre,"Toronto, Ontario","36,238",,MLB
133,CHC,CIN,1,2016,Wrigley Field,"Chicago, Illinois","34,898",,MLB
134,TEX,BAL,1,2016,Globe Life Park in Arlington,"Arlington, Texas","22,820",,MLB
135,HOU,KC,0,2016,Minute Maid Park,"Houston, Texas","21,203",,MLB
136,LAD,ARI,1,2016,Dodger Stadium,"Los Angeles, California","40,879",,MLB
137,CHC,COL,0,2016,Wrigley Field,"Chicago, Illinois","34,437",,MLB
138,NYY,SEA,0,2016,Yankee Stadium,"Bronx, New York","35,531",,MLB
139,PHI,WSH,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","22,624",,MLB
140,PIT,MIL,0,2016,PNC Park,"Pittsburgh, Pennsylvania","24,280",,MLB
141,BOS,TOR,1,2016,Fenway Park,"Boston, Massachusetts","31,415",,MLB
142,CLE,NYM,0,2016,Progressive Field,"Cleveland, Ohio","15,365",,MLB
143,MIA,ATL,0,2016,Marlins Park,"Miami, Florida","18,071",,MLB
144,TB,CHW,0,2016,Tropicana Field,"St. Petersburg, Florida","16,801",,MLB
145,TEX,BAL,0,2016,Globe Life Park in Arlington,"Arlington, Texas","32,628",,MLB
146,MIN,LAA,1,2016,Target Field,"Minneapolis, Minnesota","22,461",,MLB
147,HOU,DET,1,2016,Minute Maid Park,"Houston, Texas","30,092",,MLB
148,STL,CIN,1,2016,Busch Stadium,"St. Louis, Missouri","44,997",,MLB
149,OAK,KC,0,2016,Oakland Coliseum,"Oakland, California","19,451",,MLB
150,LAD,SF,1,2016,Dodger Stadium,"Los Angeles, California","53,449",,MLB
151,SD,ARI,0,2016,Petco Park,"San Diego, California","28,955",,MLB
152,NYY,SEA,0,2016,Yankee Stadium,"Bronx, New York","38,574",,MLB
153,MIN,LAA,1,2016,Target Field,"Minneapolis, Minnesota","27,464",,MLB
154,STL,CIN,0,2016,Busch Stadium,"St. Louis, Missouri","44,425",,MLB
155,CHC,COL,1,2016,Wrigley Field,"Chicago, Illinois","41,702",,MLB
156,BOS,TOR,1,2016,Fenway Park,"Boston, Massachusetts","36,267",,MLB
157,OAK,KC,1,2016,Oakland Coliseum,"Oakland, California","25,564",,MLB
158,CLE,NYM,1,2016,Progressive Field,"Cleveland, Ohio","20,165",,MLB
159,TB,CHW,1,2016,Tropicana Field,"St. Petersburg, Florida","30,451",,MLB
160,PHI,WSH,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","30,320",,MLB
161,PIT,MIL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","34,957",,MLB
162,HOU,DET,0,2016,Minute Maid Park,"Houston, Texas","30,013",,MLB
163,MIA,ATL,0,2016,Marlins Park,"Miami, Florida","33,123",,MLB
164,TEX,BAL,1,2016,Globe Life Park in Arlington,"Arlington, Texas","39,493",,MLB
165,SD,ARI,1,2016,Petco Park,"San Diego, California","34,051",,MLB
166,LAD,SF,0,2016,Dodger Stadium,"Los Angeles, California","53,409",,MLB
167,NYY,SEA,1,2016,Yankee Stadium,"Bronx, New York","43,856",,MLB
168,CLE,NYM,0,2016,Progressive Field,"Cleveland, Ohio","17,621",,MLB
169,MIA,ATL,0,2016,Marlins Park,"Miami, Florida","24,780",,MLB
170,TB,CHW,1,2016,Tropicana Field,"St. Petersburg, Florida","21,810",,MLB
171,BOS,TOR,0,2016,Fenway Park,"Boston, Massachusetts","37,217",,MLB
172,PHI,WSH,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","37,378",,MLB
173,PIT,MIL,1,2016,PNC Park,"Pittsburgh, Pennsylvania","31,124",,MLB
174,MIN,LAA,1,2016,Target Field,"Minneapolis, Minnesota","25,932",,MLB
175,HOU,DET,1,2016,Minute Maid Park,"Houston, Texas","30,657",,MLB
176,STL,CIN,1,2016,Busch Stadium,"St. Louis, Missouri","46,268",,MLB
177,CHC,COL,0,2016,Wrigley Field,"Chicago, Illinois","41,678",,MLB
178,OAK,KC,1,2016,Oakland Coliseum,"Oakland, California","29,668",,MLB
179,SD,ARI,0,2016,Petco Park,"San Diego, California","30,520",,MLB
180,LAD,SF,1,2016,Dodger Stadium,"Los Angeles, California","48,911",,MLB
181,BOS,TOR,0,2016,Fenway Park,"Boston, Massachusetts","37,168",,MLB
182,PHI,NYM,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","21,585",,MLB
183,CIN,COL,0,2016,Great American Ball Park,"Cincinnati, Ohio","12,777",,MLB
184,MIA,WSH,1,2016,Marlins Park,"Miami, Florida","16,112",,MLB
185,STL,CHC,0,2016,Busch Stadium,"St. Louis, Missouri","45,432",,MLB
186,CHW,LAA,0,2016,Guaranteed Rate Field,"Chicago, Illinois","14,706",,MLB
187,MIN,MIL,1,2016,Target Field,"Minneapolis, Minnesota","21,078",,MLB
188,SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,432",,MLB
189,MIN,MIL,0,2016,Target Field,"Minneapolis, Minnesota","17,597",,MLB
190,CLE,SEA,1,2016,Progressive Field,"Cleveland, Ohio","9,393",,MLB
191,BAL,TOR,0,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","16,783",,MLB
192,NYY,OAK,0,2016,Yankee Stadium,"Bronx, New York","31,952",,MLB
193,PHI,NYM,0,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","22,417",,MLB
194,BOS,TB,0,2016,Fenway Park,"Boston, Massachusetts","32,061",,MLB
195,ATL,LAD,1,2016,Center Parc Stadium,"Atlanta, Georgia","14,160",,MLB
196,CIN,COL,1,2016,Great American Ball Park,"Cincinnati, Ohio","13,240",,MLB
197,MIA,WSH,0,2016,Marlins Park,"Miami, Florida","16,529",,MLB
198,KC,DET,1,2016,Kauffman Stadium,"Kansas City, Missouri","26,889",,MLB
199,TEX,HOU,1,2016,Globe Life Park in Arlington,"Arlington, Texas","24,181",,MLB
200,CHW,LAA,1,2016,Guaranteed Rate Field,"Chicago, Illinois","12,093",,MLB
201,STL,CHC,0,2016,Busch Stadium,"St. Louis, Missouri","43,841",,MLB
202,SD,PIT,1,2016,Petco Park,"San Diego, California","19,449",,MLB
203,SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,218",,MLB
204,CIN,COL,1,2016,Great American Ball Park,"Cincinnati, Ohio","12,979",,MLB
205,STL,CHC,1,2016,Busch Stadium,"St. Louis, Missouri","43,093",,MLB
206,CHW,LAA,1,2016,Guaranteed Rate Field,"Chicago, Illinois","12,785",,MLB
207,CLE,SEA,0,2016,Progressive Field,"Cleveland, Ohio","9,890",,MLB
208,KC,DET,0,2016,Kauffman Stadium,"Kansas City, Missouri","28,928",,MLB
209,BAL,TOR,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","15,404",,MLB
210,NYY,OAK,0,2016,Yankee Stadium,"Bronx, New York","37,396",,MLB
211,PHI,NYM,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","20,057",,MLB
212,BOS,TB,1,2016,Fenway Park,"Boston, Massachusetts","31,689",,MLB
213,ATL,LAD,0,2016,Center Parc Stadium,"Atlanta, Georgia","16,087",,MLB
214,MIA,WSH,0,2016,Marlins Park,"Miami, Florida","16,961",,MLB
215,TEX,HOU,1,2016,Globe Life Park in Arlington,"Arlington, Texas","25,821",,MLB
216,MIL,MIN,1,2016,Miller Park,"Milwaukee, Wisconsin","21,087",,MLB
217,SD,PIT,1,2016,Petco Park,"San Diego, California","20,681",,MLB
218,SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,497",,MLB
219,CLE,SEA,0,2016,Progressive Field,"Cleveland, Ohio","11,525",,MLB
220,ATL,LAD,0,2016,Center Parc Stadium,"Atlanta, Georgia","18,431",,MLB
221,MIA,WSH,1,2016,Marlins Park,"Miami, Florida","17,395",,MLB
222,BOS,TB,0,2016,Fenway Park,"Boston, Massachusetts","37,954",,MLB
223,MIL,MIN,0,2016,Miller Park,"Milwaukee, Wisconsin","30,107",,MLB
224,CHW,LAA,0,2016,Guaranteed Rate Field,"Chicago, Illinois","11,418",,MLB
225,SF,ARI,0,2016,Oracle Park,"San Francisco, California","41,052",,MLB
226,BAL,TOR,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","17,644",,MLB
227,NYY,OAK,0,2016,Yankee Stadium,"Bronx, New York","33,818",,MLB
228,CIN,CHC,0,2016,Great American Ball Park,"Cincinnati, Ohio","16,497",,MLB
229,KC,DET,1,2016,Kauffman Stadium,"Kansas City, Missouri","30,763",,MLB
230,TEX,HOU,1,2016,Globe Life Park in Arlington,"Arlington, Texas","25,886",,MLB
231,SD,PIT,0,2016,Petco Park,"San Diego, California","20,387",,MLB
232,SD,PIT,0,2016,Petco Park,"San Diego, California","20,387",,MLB
233,NYY,TB,1,2016,Yankee Stadium,"Bronx, New York","31,843",,MLB
234,WSH,MIN,1,2016,Nationals Park,"Washington, D.C.","27,684",,MLB
235,TOR,OAK,0,2016,Rogers Centre,"Toronto, Ontario","34,251",,MLB
236,DET,CLE,0,2016,Comerica Park,"Detroit, Michigan","25,086",,MLB
237,CIN,CHC,0,2016,Great American Ball Park,"Cincinnati, Ohio","25,940",,MLB
238,ATL,NYM,0,2016,Center Parc Stadium,"Atlanta, Georgia","21,173",,MLB
239,CHW,TEX,1,2016,Guaranteed Rate Field,"Chicago, Illinois","15,486",,MLB
240,MIL,PHI,0,2016,Miller Park,"Milwaukee, Wisconsin","23,439",,MLB
241,HOU,BOS,0,2016,Minute Maid Park,"Houston, Texas","26,672",,MLB
242,KC,BAL,1,2016,Kauffman Stadium,"Kansas City, Missouri","29,546",,MLB
243,COL,LAD,1,2016,Coors Field,"Denver, Colorado","37,153",,MLB
244,ARI,PIT,0,2016,Chase Field,"Phoenix, Arizona","27,829",,MLB
245,LAA,SEA,0,2016,Angel Stadium,"Anaheim, California","40,755",,MLB
246,SF,MIA,1,2016,Oracle Park,"San Francisco, California","41,760",,MLB
247,SD,STL,1,2016,Petco Park,"San Diego, California","30,074",,MLB
248,NYY,TB,1,2016,Yankee Stadium,"Bronx, New York","40,714",,MLB
249,WSH,MIN,1,2016,Nationals Park,"Washington, D.C.","35,974",,MLB
250,TOR,OAK,1,2016,Rogers Centre,"Toronto, Ontario","46,334",,MLB
251,DET,CLE,0,2016,Comerica Park,"Detroit, Michigan","31,163",,MLB
252,CHW,TEX,1,2016,Guaranteed Rate Field,"Chicago, Illinois","20,182",,MLB
253,HOU,BOS,1,2016,Minute Maid Park,"Houston, Texas","40,232",,MLB
254,MIL,PHI,0,2016,Miller Park,"Milwaukee, Wisconsin","34,813",,MLB
255,ATL,NYM,0,2016,Center Parc Stadium,"Atlanta, Georgia","35,230",,MLB
256,CIN,CHC,1,2016,Great American Ball Park,"Cincinnati, Ohio","41,660",,MLB
257,KC,BAL,0,2016,Kauffman Stadium,"Kansas City, Missouri","39,900",,MLB
258,COL,LAD,0,2016,Coors Field,"Denver, Colorado","42,179",,MLB
259,ARI,PIT,1,2016,Chase Field,"Phoenix, Arizona","32,935",,MLB
260,SD,STL,0,2016,Petco Park,"San Diego, California","31,688",,MLB
261,LAA,SEA,1,2016,Angel Stadium,"Anaheim, California","41,058",,MLB
262,SF,MIA,1,2016,Oracle Park,"San Francisco, California","41,886",,MLB
263,NYY,TB,0,2016,Yankee Stadium,"Bronx, New York","40,981",,MLB
264,TOR,OAK,1,2016,Rogers Centre,"Toronto, Ontario","46,300",,MLB
265,DET,CLE,0,2016,Comerica Park,"Detroit, Michigan","31,947",,MLB
266,CIN,CHC,0,2016,Great American Ball Park,"Cincinnati, Ohio","36,220",,MLB
267,ATL,NYM,0,2016,Center Parc Stadium,"Atlanta, Georgia","32,085",,MLB
268,WSH,MIN,1,2016,Nationals Park,"Washington, D.C.","35,397",,MLB
269,CHW,TEX,1,2016,Guaranteed Rate Field,"Chicago, Illinois","26,058",,MLB
270,MIL,PHI,1,2016,Miller Park,"Milwaukee, Wisconsin","28,131",,MLB
271,KC,BAL,1,2016,Kauffman Stadium,"Kansas City, Missouri","34,748",,MLB
272,LAA,SEA,0,2016,Angel Stadium,"Anaheim, California","37,754",,MLB
273,SF,MIA,0,2016,Oracle Park,"San Francisco, California","41,509",,MLB
274,COL,LAD,0,2016,Coors Field,"Denver, Colorado","35,962",,MLB
275,ARI,PIT,0,2016,Chase Field,"Phoenix, Arizona","27,573",,MLB
276,SD,STL,0,2016,Petco Park,"San Diego, California","37,395",,MLB
277,HOU,BOS,0,2016,Minute Maid Park,"Houston, Texas","32,416",,MLB
278,TOR,CHW,0,2016,Rogers Centre,"Toronto, Ontario","24,333",,MLB
279,DET,OAK,1,2016,Comerica Park,"Detroit, Michigan","21,671",,MLB
280,ATL,BOS,0,2016,Center Parc Stadium,"Atlanta, Georgia","22,735",,MLB
281,NYM,CIN,1,2016,Citi Field,"Queens, New York","30,250",,MLB
282,TB,BAL,1,2016,Tropicana Field,"St. Petersburg, Florida","12,996",,MLB
283,TEX,NYY,0,2016,Globe Life Park in Arlington,"Arlington, Texas","31,453",,MLB
284,MIN,CLE,1,2016,Target Field,"Minneapolis, Minnesota","17,503",,MLB
285,COL,PIT,0,2016,Coors Field,"Denver, Colorado","20,674",,MLB
286,ARI,STL,1,2016,Chase Field,"Phoenix, Arizona","18,208",,MLB
287,LAA,KC,1,2016,Angel Stadium,"Anaheim, California","31,061",,MLB
288,SEA,HOU,1,2016,T-Mobile Park,"Seattle, Washington","14,832",,MLB
289,LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","44,954",,MLB
290,SF,SD,1,2016,Oracle Park,"San Francisco, California","41,266",,MLB
291,WSH,PHI,0,2016,Nationals Park,"Washington, D.C.","25,097",,MLB
292,TOR,CHW,0,2016,Rogers Centre,"Toronto, Ontario","23,726",,MLB
293,DET,OAK,0,2016,Comerica Park,"Detroit, Michigan","22,256",,MLB
294,ATL,BOS,0,2016,Center Parc Stadium,"Atlanta, Georgia","23,487",,MLB
295,NYM,CIN,1,2016,Citi Field,"Queens, New York","26,978",,MLB
296,TB,BAL,1,2016,Tropicana Field,"St. Petersburg, Florida","10,988",,MLB
297,TEX,NYY,1,2016,Globe Life Park in Arlington,"Arlington, Texas","26,163",,MLB
298,CHC,MIL,1,2016,Wrigley Field,"Chicago, Illinois","35,861",,MLB
299,MIN,CLE,1,2016,Target Field,"Minneapolis, Minnesota","17,493",,MLB
300,COL,PIT,0,2016,Coors Field,"Denver, Colorado","20,227",,MLB
301,ARI,STL,0,2016,Chase Field,"Phoenix, Arizona","19,074",,MLB
302,LAA,KC,1,2016,Angel Stadium,"Anaheim, California","34,428",,MLB
303,SEA,HOU,1,2016,T-Mobile Park,"Seattle, Washington","13,821",,MLB
304,LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","41,102",,MLB
305,SF,SD,1,2016,Oracle Park,"San Francisco, California","41,413",,MLB
306,SF,SD,1,2016,Oracle Park,"San Francisco, California","41,357",,MLB
307,WSH,PHI,0,2016,Nationals Park,"Washington, D.C.","24,186",,MLB
308,TOR,CHW,0,2016,Rogers Centre,"Toronto, Ontario","28,759",,MLB
309,BOS,ATL,1,2016,Fenway Park,"Boston, Massachusetts","33,380",,MLB
310,DET,OAK,1,2016,Comerica Park,"Detroit, Michigan","22,636",,MLB
311,NYM,CIN,1,2016,Citi Field,"Queens, New York","31,481",,MLB
312,TB,BAL,0,2016,Tropicana Field,"St. Petersburg, Florida","11,850",,MLB
313,TEX,NYY,1,2016,Globe Life Park in Arlington,"Arlington, Texas","35,477",,MLB
314,MIN,CLE,0,2016,Target Field,"Minneapolis, Minnesota","17,746",,MLB
315,COL,PIT,0,2016,Coors Field,"Denver, Colorado","21,354",,MLB
316,ARI,STL,0,2016,Chase Field,"Phoenix, Arizona","18,339",,MLB
317,LAA,KC,1,2016,Angel Stadium,"Anaheim, California","35,142",,MLB
318,SEA,HOU,0,2016,T-Mobile Park,"Seattle, Washington","14,173",,MLB
319,LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","38,909",,MLB
320,DET,OAK,1,2016,Comerica Park,"Detroit, Michigan","26,200",,MLB
321,CHC,MIL,1,2016,Wrigley Field,"Chicago, Illinois","32,734",,MLB
322,WSH,PHI,0,2016,Nationals Park,"Washington, D.C.","22,112",,MLB
323,BAL,CHW,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","14,568",,MLB
