home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
MIL,PHI,0,2016,Miller Park,"Milwaukee, Wisconsin","23,439",,MLB
HOU,BOS,0,2016,Minute Maid Park,"Houston, Texas","26,672",,MLB
KC,BAL,1,2016,Kauffman Stadium,"Kansas City, Missouri","29,546",,MLB
COL,LAD,1,2016,Coors Field,"Denver, Colorado","37,153",,MLB
ARI,PIT,0,2016,Chase Field,"Phoenix, Arizona","27,829",,MLB
LAA,SEA,0,2016,Angel Stadium,"Anaheim, California","40,755",,MLB
SF,MIA,1,2016,Oracle Park,"San Francisco, California","41,760",,MLB
SD,STL,1,2016,Petco Park,"San Diego, California","30,074",,MLB
NYY,TB,1,2016,Yankee Stadium,"Bronx, New York","40,714",,MLB
WSH,MIN,1,2016,Nationals Park,"Washington, D.C.","35,974",,MLB
TOR,OAK,1,2016,Rogers Centre,"Toronto, Ontario","46,334",,MLB
DET,CLE,0,2016,Comerica Park,"Detroit, Michigan","31,163",,MLB
CHW,TEX,1,2016,Guaranteed Rate Field,"Chicago, Illinois","20,182",,MLB
HOU,BOS,1,2016,Minute Maid Park,"Houston, Texas","40,232",,MLB
MIL,PHI,0,2016,Miller Park,"Milwaukee, Wisconsin","34,813",,MLB
ATL,NYM,0,2016,Center Parc Stadium,"Atlanta, Georgia","35,230",,MLB
CIN,CHC,1,2016,Great American Ball Park,"Cincinnati, Ohio","41,660",,MLB
KC,BAL,0,2016,Kauffman Stadium,"Kansas City, Missouri","39,900",,MLB
COL,LAD,0,2016,Coors Field,"Denver, Colorado","42,179",,MLB
ARI,PIT,1,2016,Chase Field,"Phoenix, Arizona","32,935",,MLB
SD,STL,0,2016,Petco Park,"San Diego, California","31,688",,MLB
LAA,SEA,1,2016,Angel Stadium,"Anaheim, California","41,058",,MLB
SF,MIA,1,2016,Oracle Park,"San Francisco, California","41,886",,MLB
NYY,TB,0,2016,Yankee Stadium,"Bronx, New York","40,981",,MLB
TOR,OAK,1,2016,Rogers Centre,"Toronto, Ontario","46,300",,MLB
DET,CLE,0,2016,Comerica Park,"Detroit, Michigan","31,947",,MLB
CIN,CHC,0,2016,Great American Ball Park,"Cincinnati, Ohio","36,220",,MLB
ATL,NYM,0,2016,Center Parc Stadium,"Atlanta, Georgia","32,085",,MLB
WSH,MIN,1,2016,Nationals Park,"Washington, D.C.","35,397",,MLB
CHW,TEX,1,2016,Guaranteed Rate Field,"Chicago, Illinois","26,058",,MLB
MIL,PHI,1,2016,Miller Park,"Milwaukee, Wisconsin","28,131",,MLB
KC,BAL,1,2016,Kauffman Stadium,"Kansas City, Missouri","34,748",,MLB
LAA,SEA,0,2016,Angel Stadium,"Anaheim, California","37,754",,MLB
SF,MIA,0,2016,Oracle Park,"San Francisco, California","41,509",,MLB
COL,LAD,0,2016,Coors Field,"Denver, Colorado","35,962",,MLB
ARI,PIT,0,2016,Chase Field,"Phoenix, Arizona","27,573",,MLB
SD,STL,0,2016,Petco Park,"San Diego, California","37,395",,MLB
HOU,BOS,0,2016,Minute Maid Park,"Houston, Texas","32,416",,MLB
TOR,CHW,0,2016,Rogers Centre,"Toronto, Ontario","24,333",,MLB
DET,OAK,1,2016,Comerica Park,"Detroit, Michigan","21,671",,MLB
ATL,BOS,0,2016,Center Parc Stadium,"Atlanta, Georgia","22,735",,MLB
NYM,CIN,1,2016,Citi Field,"Queens, New York","30,250",,MLB
TB,BAL,1,2016,Tropicana Field,"St. Petersburg, Florida","12,996",,MLB
TEX,NYY,0,2016,Globe Life Park in Arlington,"Arlington, Texas","31,453",,MLB
MIN,CLE,1,2016,Target Field,"Minneapolis, Minnesota","17,503",,MLB
COL,PIT,0,2016,Coors Field,"Denver, Colorado","20,674",,MLB
ARI,STL,1,2016,Chase Field,"Phoenix, Arizona","18,208",,MLB
LAA,KC,1,2016,Angel Stadium,"Anaheim, California","31,061",,MLB
SEA,HOU,1,2016,T-Mobile Park,"Seattle, Washington","14,832",,MLB
LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","44,954",,MLB
SF,SD,1,2016,Oracle Park,"San Francisco, California","41,266",,MLB
WSH,PHI,0,2016,Nationals Park,"Washington, D.C.","25,097",,MLB
TOR,CHW,0,2016,Rogers Centre,"Toronto, Ontario","23,726",,MLB
DET,OAK,0,2016,Comerica Park,"Detroit, Michigan","22,256",,MLB
ATL,BOS,0,2016,Center Parc Stadium,"Atlanta, Georgia","23,487",,MLB
NYM,CIN,1,2016,Citi Field,"Queens, New York","26,978",,MLB
TB,BAL,1,2016,Tropicana Field,"St. Petersburg, Florida","10,988",,MLB
TEX,NYY,1,2016,Globe Life Park in Arlington,"Arlington, Texas","26,163",,MLB
CHC,MIL,1,2016,Wrigley Field,"Chicago, Illinois","35,861",,MLB
MIN,CLE,1,2016,Target Field,"Minneapolis, Minnesota","17,493",,MLB
COL,PIT,0,2016,Coors Field,"Denver, Colorado","20,227",,MLB
ARI,STL,0,2016,Chase Field,"Phoenix, Arizona","19,074",,MLB
LAA,KC,1,2016,Angel Stadium,"Anaheim, California","34,428",,MLB
SEA,HOU,1,2016,T-Mobile Park,"Seattle, Washington","13,821",,MLB
LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","41,102",,MLB
SF,SD,1,2016,Oracle Park,"San Francisco, California","41,413",,MLB
SF,SD,1,2016,Oracle Park,"San Francisco, California","41,357",,MLB
WSH,PHI,0,2016,Nationals Park,"Washington, D.C.","24,186",,MLB
TOR,CHW,0,2016,Rogers Centre,"Toronto, Ontario","28,759",,MLB
BOS,ATL,1,2016,Fenway Park,"Boston, Massachusetts","33,380",,MLB
DET,OAK,1,2016,Comerica Park,"Detroit, Michigan","22,636",,MLB
NYM,CIN,1,2016,Citi Field,"Queens, New York","31,481",,MLB
TB,BAL,0,2016,Tropicana Field,"St. Petersburg, Florida","11,850",,MLB
TEX,NYY,1,2016,Globe Life Park in Arlington,"Arlington, Texas","35,477",,MLB
MIN,CLE,0,2016,Target Field,"Minneapolis, Minnesota","17,746",,MLB
COL,PIT,0,2016,Coors Field,"Denver, Colorado","21,354",,MLB
ARI,STL,0,2016,Chase Field,"Phoenix, Arizona","18,339",,MLB
LAA,KC,1,2016,Angel Stadium,"Anaheim, California","35,142",,MLB
SEA,HOU,0,2016,T-Mobile Park,"Seattle, Washington","14,173",,MLB
LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","38,909",,MLB
DET,OAK,1,2016,Comerica Park,"Detroit, Michigan","26,200",,MLB
CHC,MIL,1,2016,Wrigley Field,"Chicago, Illinois","32,734",,MLB
WSH,PHI,0,2016,Nationals Park,"Washington, D.C.","22,112",,MLB
BAL,CHW,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","14,568",,MLB
BOS,ATL,0,2016,Fenway Park,"Boston, Massachusetts","32,232",,MLB
ARI,STL,1,2016,Chase Field,"Phoenix, Arizona","18,933",,MLB
LAD,MIA,0,2016,Dodger Stadium,"Los Angeles, California","44,009",,MLB
CHC,ATL,1,2016,Wrigley Field,"Chicago, Illinois","34,007",,MLB
BAL,CHW,1,2016,Oriole Park at Camden Yards,"Baltimore, Maryland","19,912",,MLB
PHI,CLE,1,2016,Citizens Bank Park,"Philadelphia, Pennsylvania","18,677",,MLB
PIT,CIN,1,2016,PNC Park,"Pittsburgh, Pennsylvania","29,938",,MLB
BOS,NYY,1,2016,Fenway Park,"Boston, Massachusetts","37,115",,MLB
NYM,SF,1,2016,Citi Field,"Queens, New York","39,764",,MLB
TB,TOR,0,2016,Tropicana Field,"St. Petersburg, Florida","13,679",,MLB
TEX,LAA,1,2016,Globe Life Park in Arlington,"Arlington, Texas","29,589",,MLB
MIL,MIA,0,2016,Miller Park,"Milwaukee, Wisconsin","23,215",,MLB
MIN,DET,0,2016,Target Field,"Minneapolis, Minnesota","23,049",,MLB
STL,WSH,0,2016,Busch Stadium,"St. Louis, Missouri","45,246",,MLB
ARI,COL,0,2016,Chase Field,"Phoenix, Arizona","23,004",,MLB
OAK,HOU,1,2016,Oakland Coliseum,"Oakland, California","20,159",,MLB
